id,subset,key,smiles,formula,level,mwt,nH,nC,nCl,E,H,S,G,dE,dH,dS,dG,zpe,homo,lumo,gap,Mu,alpha,tMu,rotA,rotB,rotC
3-0334,monoCl,HCVQQDATSNXPFN-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2cc2c(c1Cl)c1ccccc1c1c2cccc1,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.897966902937,-1460.5548156946998,0.0002189786,-1460.620104164,8.477133600899,8.2331225723,0.0019707248,7.6455508168,0.323017251,-7.9174,-0.0763,7.8411,1.6385,338.86794,0.14131 0.58130 -0.24013,0.010186,0.00431,0.003142
3-0335,monoCl,HDBYNQCGHHLJJQ-UHFFFAOYSA-N,c1ccc2c(c1)c1-c3cc4ccccc4c4c3c(-c1cc2)ccc4Cl,C24H13Cl,xtb2,336.821,13,24,1,-62.600556896688,-62.300420735778,0.000214370327,-62.364335248656,9.963642917799,9.753206835329,0.001659541491,9.258414538416,0.281094556322,-10.0868,-7.9992,2.087611313259,1.53,257.188954,-0.491 0.349 -0.000,0.01316799,0.004799006,0.003517186
3-0335,monoCl,HDBYNQCGHHLJJQ-UHFFFAOYSA-N,c1ccc2c(c1)c1-c3cc4ccccc4c4c3c(-c1cc2)ccc4Cl,C24H13Cl,r2scan,336.821,13,24,1,-1382.401740728335,-1382.0958634704,0.0002118017,-1382.1590121542,7.850029431545,7.6338504316,0.0017771855,7.1039824343,0.2870179116,-5.3411,-2.9086,2.4325,1.41093,328.49736,-0.44755 0.32837 -0.00001,0.012979,0.004758,0.003482
3-0335,monoCl,HDBYNQCGHHLJJQ-UHFFFAOYSA-N,c1ccc2c(c1)c1-c3cc4ccccc4c4c3c(-c1cc2)ccc4Cl,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.406459742481,-1383.1005824846,0.0002118017,-1383.1637311684,7.741307410689,7.5251284106,0.0017771855,6.9952604146,0.2870179116,-7.9342,-0.62,7.3142,1.58898,313.11461,-0.53664 0.32065 -0.00001,0.012979,0.004758,0.003482
3-0336,monoCl,HDIMBYQSWWNWJF-UHFFFAOYSA-N,c1ccc2c(c1)cc(c1-c3c4c(-c21)c1ccccc1cc4ccc3)Cl,C24H13Cl,xtb2,336.821,13,24,1,-62.589306626999,-62.289420966019,0.000212357825,-62.352735451659,9.95239264811,9.74220706557,0.001661553993,9.246814741419,0.281071121858,-9.9354,-8.2881,1.647306761759,2.342,257.111105,-0.474 -0.780 -0.122,0.009108257,0.00707676,0.004072932
3-0336,monoCl,HDIMBYQSWWNWJF-UHFFFAOYSA-N,c1ccc2c(c1)cc(c1-c3c4c(-c21)c1ccccc1cc4ccc3)Cl,C24H13Cl,r2scan,336.821,13,24,1,-1382.390603051663,-1382.0838672714,0.0002052062,-1382.1450495001,7.838891754873,7.6218542326,0.001783781,7.0900197802,0.2885588531,-5.1633,-3.2278,1.9355,2.13664,326.0999,-0.48206 -0.68072 -0.10414,0.009045,0.006967,0.004024
3-0336,monoCl,HDIMBYQSWWNWJF-UHFFFAOYSA-N,c1ccc2c(c1)cc(c1-c3c4c(-c21)c1ccccc1cc4ccc3)Cl,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.389948083732,-1383.0832123034,0.0002052062,-1383.1443945320998,7.72479575194,7.5077582294,0.001783781,6.9759237783,0.2885588531,-7.6165,-0.9945,6.622,2.0204,314.81732,-0.42470 -0.66352 -0.10576,0.009045,0.006967,0.004024
3-0337,monoCl,HDRZBTZVNDETGM-UHFFFAOYSA-N,c1cc2-c3cccc4c3c(-c2c2c1ccc1c2cc(cc1)Cl)ccc4,C24H13Cl,xtb2,336.821,13,24,1,-62.597199231564,-62.297192217994,0.000211508328,-62.360253426022,9.960285252675,9.749978317545,0.00166240349,9.254332715782,0.281312945086,-10.0821,-7.9321,2.150035945145,1.962,257.094377,0.240 0.654 0.333,0.0109988,0.005734591,0.003937205
3-0337,monoCl,HDRZBTZVNDETGM-UHFFFAOYSA-N,c1cc2-c3cccc4c3c(-c2c2c1ccc1c2cc(cc1)Cl)ccc4,C24H13Cl,r2scan,336.821,13,24,1,-1382.399423371704,-1382.0925037359,0.0002044701,-1382.1534665078,7.847712074914,7.6304906971,0.0017845171,7.0984367879,0.2888775388,-5.3146,-2.8828,2.4318,1.88222,317.71142,0.23533 0.60357 0.35871,0.010938,0.005627,0.003866
3-0337,monoCl,HDRZBTZVNDETGM-UHFFFAOYSA-N,c1cc2-c3cccc4c3c(-c2c2c1ccc1c2cc(cc1)Cl)ccc4,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.401989775605,-1383.0950701398,0.0002044701,-1383.1560329117,7.736837443813,7.5196160658,0.0017845171,6.9875621579,0.2888775388,-7.9082,-0.5411,7.3671,1.92543,304.58936,0.16195 0.64514 0.36247,0.010938,0.005627,0.003866
