id,smiles,mwt,nH,nC,nCl,E_xtb2,H_xtb2,S_xtb2,G_xtb2,dE_xtb2,dH_xtb2,dS_xtb2,dG_xtb2,zpe_xtb2,homo_xtb2,lumo_xtb2,gap_xtb2,Mu_xtb2,alpha_xtb2,xMu_xtb2,yMu_xtb2,zMu_xtb2,rotA_xtb2,rotB_xtb2,rotC_xtb2,E_r2scan,H_r2scan,S_r2scan,G_r2scan,dE_r2scan,dH_r2scan,dS_r2scan,dG_r2scan,zpe_r2scan,homo_r2scan,lumo_r2scan,gap_r2scan,Mu_r2scan,alpha_r2scan,xMu_r2scan,yMu_r2scan,zMu_r2scan,rotA_r2scan,rotB_r2scan,rotC_r2scan,E_d4tzvp,H_d4tzvp,S_d4tzvp,G_d4tzvp,dE_d4tzvp,dH_d4tzvp,dS_d4tzvp,dG_d4tzvp,zpe_d4tzvp,homo_d4tzvp,lumo_d4tzvp,gap_d4tzvp,Mu_d4tzvp,alpha_d4tzvp,xMu_d4tzvp,yMu_d4tzvp,zMu_d4tzvp,rotA_d4tzvp,rotB_d4tzvp,rotC_d4tzvp
2-0166,c1c(Cl)cc2-c3c(-c2c1)cc(cc3)Cl,221.086,6,12,2,-37.797609583154,-37.650942708991,0.000164011321,-37.699842684358,4.952106273236,4.852649966673,0.000839739207,4.602281721558,0.134652077578,-10.3843,-7.8283,2.556024436835,0.0,146.567678,0.0,0.0,-0.0,0.07592196,0.007284335,0.006646624,-1381.079078433699,-1380.9297223907,0.0001614378,-1380.9778550815,3.880868695467,3.7787222619,0.0009020754,3.5097684009,0.137577001,-5.4507,-2.5954,2.8553,0.0,176.99223,-0.0,0.0,-0.0,0.07534,0.007176,0.006552,-1381.640716741746,-1381.4913606987,0.0001614378,-1381.5394933895,3.83219710515,3.7300506715,0.0009020754,3.4610968111,0.137577001,-8.1736,0.0488,8.2224,1e-05,169.91326,-0.0,-0.0,-0.0,0.07534,0.007176,0.006552
3-0411,Clc1ccc2c(c1)ccc1c2c2c(cc1)ccc1c2cccc1,312.799,13,22,1,-58.307021674466,-58.020045803218,0.000204890464,-58.081133895105,9.256700438307,9.054703588739,0.001562615098,8.588809896235,0.269253846428,-10.2113,-7.4618,2.749502483532,2.407,239.854371,-0.577,0.743,-0.11,0.01255116,0.006523832,0.004569142,-1306.195552333904,-1305.9017616331,0.0001976815,-1305.96070038,7.30827321165,7.0994598079,0.0016778933,6.5991957935,0.2767643262,-5.4815,-2.3355,3.146,2.20364,286.79217,-0.5521,0.65805,-0.11742,0.012474,0.006358,0.004476,-1307.124874423772,-1306.831083723,0.0001976815,-1306.8900224699,7.205344007546,6.9965306036,0.0016778933,6.4962665905,0.2767643262,-8.0427,0.1062,8.1489,2.25427,276.85188,-0.5506,0.68492,-0.11953,0.012474,0.006358,0.004476
4-0532,Clc1c(Cl)c(Cl)c2c(c1Cl)c(Cl)c1c(c2Cl)c2c(Cl)c(Cl)c(cc2c2c1c(Cl)c(Cl)c(c2Cl)Cl)Cl,726.139,1,22,13,-106.841308973502,-106.654111471725,0.000325230398,-106.751078914751,8.722479285043,8.620260804946,0.001645127916,8.129765915649,0.153223801879,-10.9464,-8.9996,1.946858907013,0.946,390.125306,-0.329,0.162,0.064,0.00260875,0.001730893,0.001118597,-6821.060219425512,-6820.8685602011,0.0003077342,-6820.960311167,6.772281070042,6.6655991423,0.0017707822,6.1376401585,0.1591088464,-5.9468,-3.7188,2.228,0.91101,486.40066,-0.31667,0.15888,0.05419,0.002588,0.001705,0.00112,-6822.425665033081,-6822.2340058087,0.0003077342,-6822.3257567746,6.738823069974,6.6321411429,0.0017707822,6.1041821592,0.1591088464,-8.5915,-1.4008,7.1907,0.89793,452.84555,-0.30303,0.16222,0.08156,0.002588,0.001705,0.00112
3-0146,Clc1ccc2-c3c4c(-c2c1)c1c2ccccc2ccc1cc4ccc3,336.821,13,24,1,-62.595534911331,-62.295584785495,0.000212074807,-62.358814889069,9.958620932442,9.748370885046,0.001661837011,9.252894178829,0.281212591551,-10.097,-8.0965,2.000487738382,2.587,257.103007,-0.061,-0.994,0.21,0.007944635,0.007415789,0.003960528,-1382.397137751839,-1382.0904091335,0.0002048712,-1382.1514914797,7.845426455049,7.6283960947,0.001784116,7.0964617598,0.2886150127,-5.3438,-3.0536,2.2902,2.41662,322.96244,-0.0373,-0.93285,0.17983,0.007886,0.007271,0.0039,-1383.398951395052,-1383.0922227768,0.0002048712,-1383.153305123,7.73379906326,7.5167687028,0.001784116,6.9848343692,0.2886150127,-7.8122,-0.7765,7.0357,2.38462,310.4885,-0.10685,-0.9153,0.17594,0.007886,0.007271,0.0039
3-0607,c1ccc2c(c1)c1-c3ccccc3-c3c1c(c2)c(Cl)c1c3cccc1,336.821,13,24,1,-62.588797149962,-62.28912157163,0.000215827662,-62.353470588994,9.951883171073,9.741907671181,0.001658084156,9.247549878754,0.280488505348,-9.7876,-8.4492,1.338415754718,0.972,257.231033,-0.115,0.365,-0.0,0.009355117,0.006720062,0.00391081,-1382.389823321839,-1382.0840279672,0.0002098755,-1382.1466023352,7.838112025049,7.6220149284,0.0017791117,7.0915726153,0.286964158,-4.9866,-3.4692,1.5174,0.67529,340.81045,-0.09907,0.24651,-5e-05,0.009241,0.006683,0.003878,-1383.388191810744,-1383.0823964561,0.0002098755,-1383.1449708241,7.723039478952,7.5069423821,0.0017791117,6.9765000703,0.286964158,-7.2817,-1.353,5.9287,0.77028,331.66176,-0.09984,0.28613,-4e-05,0.009241,0.006683,0.003878
3-0268,c1ccc2-c3c4c(-c2c1)c1ccc2c(c1cc4ccc3)cccc2Cl,336.821,13,24,1,-62.598565467213,-62.298567509385,0.000214735284,-62.362590834221,9.961651488324,9.751353608936,0.001659176534,9.256670123981,0.28095839838,-10.0876,-8.0843,2.003238779395,2.116,257.140941,-0.332,-0.764,0.001,0.01379367,0.004305891,0.00328152,-1382.401390405083,-1382.0953812235,0.000209727,-1382.1579113226,7.849679108293,7.6333681847,0.0017792602,7.1028816027,0.2873458745,-5.3517,-3.0475,2.3042,2.00938,332.05391,-0.25233,-0.74918,0.00063,0.013649,0.004266,0.00325,-1383.405049941539,-1383.0990407599,0.000209727,-1383.161570859,7.739897609747,7.5235866859,0.0017792602,6.9931001052,0.2873458745,-7.8016,-0.7546,7.047,2.03785,318.34981,-0.28761,-0.74837,0.00064,0.013649,0.004266,0.00325
3-0714,c1ccc2c(c1)c1cc(Cl)c3c4c1c(c2)ccc4cc1c3cccc1,336.821,13,24,1,-62.612707609159,-62.312507108235,0.000211243448,-62.375489342226,9.97579363027,9.765293207786,0.00166266837,9.269568631986,0.281481728887,-9.8183,-7.9259,1.892427379828,1.805,257.270557,-0.232,0.649,-0.171,0.01470143,0.00487632,0.003703916,-1382.415739209678,-1382.1090426702,0.0002051632,-1382.1702120637,7.864027912888,7.6470296314,0.001783824,7.1151823438,0.2885029699,-4.9991,-2.7457,2.2534,1.60611,347.6723,-0.21066,0.56219,-0.19707,0.014503,0.004831,0.003665,-1383.416193064564,-1383.1094965251002,0.0002051632,-1383.1706659186002,7.751040732772,7.5340424511,0.001783824,7.0021951648,0.2885029699,-7.3072,-0.5201,6.7871,1.68812,332.74794,-0.23768,0.58931,-0.19316,0.014503,0.004831,0.003665
3-0306,c1ccc2c(c1)cc1c(c2)c2c(cc1)cc1c(c2)cc2c(c1Cl)cccc2,362.859,15,26,1,-67.899847216759,-67.565119892715,0.000227252718,-67.63287529055,10.889374967268,10.653789835184,0.001835941406,10.106403903638,0.313854397383,-9.7788,-7.9968,1.781960206845,1.911,279.90478,0.42,0.624,-0.0,0.01563109,0.002706098,0.002306748,-1459.805615365222,-1459.4637177307,0.0002205354,-1459.5294703732,8.594928522526,8.3521710679,0.001969168,7.7650634841,0.3215997331,-4.9549,-2.9685,1.9864,1.85989,408.89997,0.39319,0.6171,-9e-05,0.015417,0.002685,0.002287,-1460.889513997936,-1460.5476163633998,0.0002205354,-1460.6133690058998,8.468680695898,8.225923241,0.001969168,7.6388156587,0.3215997331,-7.3591,-0.6914,6.6677,1.84898,379.43333,0.36544,0.62898,-8e-05,0.015417,0.002685,0.002287
3-0959,Clc1ccc2c(c1)ccc1c2c2cc3ccccc3cc2cc1,312.799,13,22,1,-58.306159652402,-58.019200884623,0.000205859234,-58.080577815384,9.255838416243,9.053858670144,0.001561646328,8.588253816514,0.269188065483,-9.9346,-7.7548,2.179753157135,2.362,239.843618,0.625,-0.688,0.005,0.01380181,0.004985439,0.00372464,-1306.197219088591,-1305.9035478554,0.000198872,-1305.9628415493,7.309939966337,7.1012460302,0.0016767028,6.6013369628,0.2765463721,-5.1286,-2.6974,2.4312,2.19483,305.59187,0.59005,-0.63032,0.01247,0.013825,0.004877,0.00366,-1307.124536204722,-1306.8308649715,0.000198872,-1306.8901586654,7.205005788496,6.9963118521,0.0016767028,6.496402786,0.2765463721,-7.6046,-0.3352,7.2694,2.2202,292.43574,0.58537,-0.64813,0.01518,0.013825,0.004877,0.00366
4-1335,Clc1c2c(c(Cl)c(c3c2c(Cl)c(Cl)c2c3c(Cl)c(cc2)Cl)Cl)c2c(c1)c1c(cc2Cl)cc(c(c1Cl)Cl)Cl,707.309,5,26,11,-108.350621262648,-108.098829861086,0.000324419136,-108.195555426429,10.449725302907,10.297076093305,0.001907818948,9.728259872657,0.217727155969,-10.6071,-8.9289,1.678154796253,1.313,404.24464,0.195,0.028,0.478,0.004020502,0.001116624,0.001025782,-6055.526578696282,-6055.2687012826,0.0003075979,-6055.3604115835,8.148675825905,7.9899385918,0.0020512235,7.3783660094,0.2251557861,-5.6227,-3.6833,1.9394,1.42269,552.40578,0.22203,-0.00917,0.51372,0.003968,0.001099,0.001029,-6056.974704277868,-6056.7168268642,0.0003075979,-6056.8085371651,8.08111135343,7.9223741198,0.0020512235,7.3108015379,0.2251557861,-8.1398,-1.4347,6.7051,1.48985,505.14321,0.15002,-0.02237,0.56617,0.003968,0.001099,0.001029
3-0862,c1ccc2c(c1)ccc1c2ccc2c1cc1c(c2)ccc2c1cc(Cl)cc2,362.859,15,26,1,-67.910679849265,-67.575387777972,0.000228755024,-67.6435910884,10.900207599774,10.664057720441,0.0018344391,10.117119701488,0.314353631015,-9.9977,-7.6858,2.311884713885,2.142,279.844167,0.269,-0.798,-0.0,0.01227369,0.002932549,0.002367002,-1459.819050900178,-1459.4767406028,0.0002213506,-1459.5427362969,8.608364057482,8.36519394,0.0019683528,7.7783294078,0.3219528334,-5.2263,-2.5843,2.642,1.92434,374.16764,0.22002,-0.7244,-4e-05,0.012125,0.002916,0.002351,-1460.908316605793,-1460.5660063084,0.0002213506,-1460.6320020025005,8.487483303755,8.244313186,0.0019683528,7.6574486553,0.3219528334,-7.6917,-0.2159,7.4758,1.95812,353.91023,0.19057,-0.74642,-3e-05,0.012125,0.002916,0.002351
4-0488,c1c2c(Cl)c3c(cc2c2c(c1Cl)c1cccc(c1c(c2Cl)Cl)Cl)ccc(c3Cl)Cl,519.469,7,22,7,-82.578600395572,-82.341220001562,0.000266030954,-82.420537130448,8.994024933263,8.841623560933,0.001602900984,8.363718631462,0.211598902274,-10.4711,-8.655,1.816079798751,1.712,314.134412,-0.644,0.102,0.168,0.007497916,0.001938055,0.001572822,-4063.623693207542,-4063.3807701602,0.0002552467,-4063.4568719593,7.03608446868,6.8781387182,0.0017217989,6.3647841618,0.2180567175,-5.5665,-3.4224,2.1441,1.78324,415.03574,-0.65097,0.15658,0.20956,0.007297,0.001924,0.001572,-4064.766942450219,-4064.5240194029,0.0002552467,-4064.600121202,6.963756260553,6.8058105103,0.0017217989,6.2924559546,0.2180567175,-8.078,-1.1508,6.9272,1.82719,388.34549,-0.66466,0.14883,0.22986,0.007297,0.001924,0.001572
3-1136,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc(c1c2ccc2c1cccc2)Cl,362.859,15,26,1,-67.892826342691,-67.558112423174,0.000226407073,-67.625615692115,10.8823540932,10.646782365643,0.001836787051,10.099144305203,0.313911278979,-9.714,-8.0718,1.642184607149,2.001,279.883924,-0.479,-0.612,-0.123,0.01780384,0.002646548,0.002326151,-1459.794457323441,-1459.4521854837,0.0002190814,-1459.5175046112,8.583770480745,8.3406388209,0.001970622,7.7530977221,0.322148035,-4.8464,-3.0359,1.8105,1.86982,401.27747,-0.43452,-0.57185,-0.15917,0.017382,0.002632,0.002308,-1460.878750411106,-1460.5364785714005,0.0002190814,-1460.6017976989,8.457917109068,8.214785449,0.001970622,7.6272443517,0.322148035,-7.2135,-0.7838,6.4297,1.94993,377.11896,-0.49521,-0.5649,-0.15544,0.017382,0.002632,0.002308
3-0426,c1ccc2c(c1)cc1c3c2cc(Cl)cc3c2c3c1cccc3ccc2,336.821,13,24,1,-62.617954292654,-62.317566155896,0.000213584863,-62.381246482875,9.981040313765,9.770352255447,0.001660326955,9.275325772635,0.281466624764,-9.86,-7.9608,1.899262756359,2.327,257.233841,-0.181,-0.896,0.051,0.009492266,0.006021384,0.003694128,-1382.422320643555,-1382.1164323851,0.0002116678,-1382.1795411478,7.870609346765,7.6544193463,0.0017773194,7.1245114279,0.286957638,-4.9971,-2.8848,2.1123,2.16521,332.57591,-0.17204,-0.83292,0.04779,0.009409,0.005967,0.003662,-1383.425393624078,-1383.1195053656002,0.0002116678,-1383.1826141283,7.760241292286,7.5440512916,0.0017773194,7.0141433745,0.286957638,-7.363,-0.6099,6.7531,2.17907,316.95946,-0.16861,-0.83914,0.04876,0.009409,0.005967,0.003662
4-1369,Clc1cc2c(Cl)c3c(c(c2c(c1Cl)Cl)Cl)cc1c(c3)cc2c(c1Cl)c(Cl)c(cc2Cl)Cl,588.359,5,22,9,-90.671686881803,-90.45139861079,0.000290950611,-90.53814553543,8.909026677444,8.773717428111,0.001611790119,8.293162203072,0.191510505004,-10.3459,-9.3004,1.045524260602,2.048,339.318409,-0.346,-0.728,-0.0,0.006698682,0.001238936,0.001045558,-4982.781356751374,-4982.5560370011,0.0002761129,-4982.6383600671,6.960304806977,6.8199623535,0.0017347563,6.3027445326,0.1975620223,-5.2883,-4.1568,1.1315,2.14231,492.31709,-0.29595,-0.78909,0.01098,0.006538,0.001233,0.001047,-4983.988797132525,-4983.763477382199,0.0002761129,-4983.845800448199,6.89105901838,6.7507165652,0.0017347563,6.2334987448,0.1975620223,-7.5996,-2.083,5.5166,2.38553,457.01117,-0.36104,-0.86573,0.03121,0.006538,0.001233,0.001047
4-0863,c1ccc2c(c1)c1cc3c4c(Cl)cccc4c4c(c3cc1cc2)cccc4Cl,397.304,14,26,2,-71.951013743681,-71.623711972941,0.000236344293,-71.694178023799,10.851499123165,10.623339544385,0.001843754227,10.073624220201,0.305227048181,-10.213,-7.5537,2.659281027196,1.754,292.01949,0.166,-0.652,0.153,0.009566236,0.003442978,0.002693687,-1919.378500321723,-1919.0437955802,0.0002277115,-1919.1116877524,8.551091876259,8.3155273146,0.0019789037,7.7255169948,0.3134004123,-5.4723,-2.4375,3.0348,1.52102,368.67493,0.09939,-0.57408,0.13654,0.009348,0.003415,0.002658,-1920.506993005496,-1920.172288264,0.0002277115,-1920.2401804362,8.438883741218,8.2033191794,0.0019789037,7.613308861,0.3134004123,-8.0396,0.002,8.0416,1.54887,350.70013,0.04869,-0.59017,0.14371,0.009348,0.003415,0.002658
2-0310,Clc1cc2ccc3c4c2c(c1)c(Cl)c(c4ccc3)Cl,305.591,7,16,3,-51.531702441999,-51.344114996937,0.000192332627,-51.401458969703,6.637005747724,6.510792040542,0.001124010859,6.175668202175,0.171946834372,-10.4807,-8.1862,2.294514260592,3.736,201.97428,0.802,1.232,0.0,0.01308417,0.008664456,0.005212615,-1994.368794146214,-1994.1774453918,0.0001879082,-1994.2334702195,5.230455084772,5.1004788226,0.0012066454,4.7407173678,0.1759965836,-5.6707,-2.8854,2.7853,3.42279,239.13524,0.77908,1.09835,0.00216,0.012953,0.008578,0.005161,-1995.123574383745,-1994.9322256293,0.0001879082,-1994.9882504570005,5.166475899097,5.0364996369,0.0012066454,4.6767381828,0.1759965836,-8.1437,-0.5604,7.5833,3.48557,232.26795,0.78714,1.12288,0.00221,0.012953,0.008578,0.005161
3-0462,c1cc(Cl)c2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)c2ccccc2cc1,362.859,15,26,1,-67.895000320123,-67.560594879171,0.000227309837,-67.628367307215,10.884528070632,10.64926482164,0.001835884287,10.101895920303,0.313545359162,-9.5858,-8.2425,1.343343774797,1.984,279.872784,0.365,-0.69,0.0,0.01806778,0.002317859,0.002054317,-1459.799788446984,-1459.4581569143,0.0002202257,-1459.523817208,8.589101604288,8.3466102515,0.0019694777,7.7594103189,0.3213808441,-4.6765,-3.2529,1.4236,1.79577,416.1026,0.34061,-0.61897,4e-05,0.017824,0.0023,0.002037,-1460.880712968621,-1460.5390814358998,0.0002202257,-1460.6047417296,8.459879666583,8.2173883135,0.0019694777,7.6301883824,0.3213808441,-6.9628,-1.0605,5.9023,1.7659,389.7085,0.27838,-0.63653,4e-05,0.017824,0.0023,0.002037
4-0296,c1c(Cl)c2cc(Cl)c3c4c2c(c1)c1cc(Cl)c(c2c1c4c(c(c3Cl)Cl)cc2Cl)Cl,517.453,5,22,7,-81.621036260566,-81.405131197687,0.000260773082,-81.482880692156,8.823426326129,8.68777922817,0.001525282806,8.233016158472,0.191098305661,-10.6323,-8.7206,1.911723906748,2.545,309.127075,-0.432,-0.903,-0.035,0.00476041,0.002880051,0.001797424,-4062.48955745524,-4062.2682350451,0.0002486189,-4062.342360777,6.896492087748,6.7554260135,0.0016411229,6.2661250153,0.1974285465,-5.7025,-3.4778,2.2247,2.31691,401.16696,-0.37736,-0.82951,0.01987,0.004686,0.002863,0.001806,-4063.62063841202,-4063.3993160019,0.0002486189,-4063.4734417338,6.827511277034,6.6864452031,0.0016411229,6.1971442054,0.1974285465,-8.1092,-1.287,6.8222,2.50998,377.2563,-0.43743,-0.88507,0.02059,0.004686,0.002863,0.001806
2-0469,c1ccc2c(c1Cl)c1cc(Cl)cc(c1cc2)Cl,281.569,7,14,3,-47.219375991851,-47.044827455341,0.000187101284,-47.100611703226,5.911272040306,5.793376184916,0.001022835946,5.488417647068,0.159718398354,-10.6234,-7.7682,2.855152793017,3.143,184.447585,-1.044,0.655,0.095,0.01560922,0.009490008,0.006014023,-1918.13855682693,-1917.9599406846,0.0001822309,-1918.0142728198,4.664649940024,4.542685329,0.0010989103,4.2150451015,0.1642670815,-5.8106,-2.4731,3.3375,3.05051,210.853,-1.00374,0.64721,0.1181,0.015413,0.009316,0.005927,-1918.821838131522,-1918.6432219892,0.0001822309,-1918.6975541244,4.61036156244,4.4883969514,0.0010989103,4.1607567246,0.1642670815,-8.4786,0.0158,8.4944,3.13158,204.61565,-1.0322,0.66158,0.1216,0.015413,0.009316,0.005927
3-0342,c1ccc2c(c1)ccc1-c3c4c(-c21)cccc4c1c(c3)cccc1Cl,336.821,13,24,1,-62.598486647092,-62.29836531411,0.000217699704,-62.363272480777,9.961572668203,9.751151413661,0.001656212114,9.257351770537,0.281084703159,-10.0414,-7.9604,2.080951748302,1.585,257.175438,-0.178,-0.598,0.0,0.01828679,0.003989827,0.003275234,-1382.400093291186,-1382.0940012688,0.0002120596,-1382.157226842,7.848381994396,7.63198823,0.0017769276,7.1021971221,0.2874120432,-5.3189,-2.857,2.4619,1.53236,330.93199,-0.13689,-0.58712,-0.00023,0.018083,0.003946,0.003239,-1383.404753800372,-1383.098661778,0.0002120596,-1383.1618873512,7.73960146858,7.523207704,0.0017769276,6.9934165974,0.2874120432,-7.9271,-0.5472,7.3799,1.6391,314.95245,-0.17108,-0.62175,-0.00024,0.018083,0.003946,0.003239
4-0105,Clc1c(Cl)c(Cl)c2c(c1)c1-c3cc(Cl)cc4c3c(-c1cc2)ccc4Cl,424.541,7,20,5,-69.203946276307,-68.985101483156,0.000236259231,-69.05554217274,8.17101382665,8.027705941659,0.001409581609,7.607439183798,0.197340652337,-10.6857,-8.7213,1.964445305605,3.29,266.60804,-0.829,0.994,-0.0,0.009558747,0.002737724,0.002128189,-3067.111497161727,-3066.888466308,0.0002297894,-3066.9569780044,6.416307174307,6.2688116956,0.0015127164,5.8177951131,0.2019282089,-5.8141,-3.5106,2.3035,3.11436,338.86338,-0.65902,1.03293,2e-05,0.009432,0.00272,0.002111,-3068.098249273012,-3067.8752184193,0.0002297894,-3067.9437301157,6.345295978072,6.1978004995,0.0015127164,5.7467839177,0.2019282089,-8.4765,-1.2213,7.2552,3.20068,319.28683,-0.62808,1.0914,2e-05,0.009432,0.00272,0.002111
4-1004,c1cc(Cl)c2-c3c4c(-c2c1)cc1c(c4c(c(c3)Cl)Cl)cccc1,355.651,9,20,3,-61.108263819562,-60.87264013999,0.000215131123,-60.936781484382,8.253416111955,8.093329340543,0.001396900925,7.676843328812,0.216843809878,-10.5197,-8.2107,2.308933618373,4.183,241.828374,0.23,1.63,-0.0,0.009502264,0.005884607,0.003634078,-2147.952623392404,-2147.7124276861,0.0002096235,-2147.7749269381,6.49087661052,6.3262162793,0.0014990587,5.8792717838,0.2217604281,-5.7545,-2.9929,2.7616,3.94779,299.13169,0.2721,1.5291,0.01025,0.009363,0.00582,0.003591,-2148.870316608837,-2148.6301209025,0.0002096235,-2148.6926201545,6.411915238377,6.2472549071,0.0014990587,5.8003104125,0.2217604281,-8.3375,-0.662,7.6755,4.05773,285.98826,0.18101,1.58608,0.00904,0.009363,0.00582,0.003591
4-0698,Clc1c2cc(Cl)c3c(c2c2c(c1Cl)c1c(Cl)cc(c(c1c(c2Cl)Cl)Cl)Cl)c(Cl)c(c1c3c(Cl)ccc1Cl)Cl,741.754,4,26,12,-112.397624577568,-112.154231154087,0.000332633761,-112.253405909845,10.407686246802,10.263435015281,0.001916508719,9.692027939387,0.208053094793,-10.7532,-8.9138,1.839336493612,1.833,416.870618,-0.66,0.291,-0.019,0.003162586,0.001391123,0.001107749,-6515.090371760896,-6514.8413004471,0.000316212,-6514.9355790503,8.095747287753,7.9458161535,0.0020595212,7.3317696077,0.215038894,-5.7768,-3.7005,2.0763,1.70055,538.19231,-0.59907,0.29784,0.00366,0.003052,0.001397,0.001113,-6516.575604529216,-6516.326533215401,0.000316212,-6516.4208118186,8.034735642538,7.8848045088,0.0020595212,7.2707579634,0.215038894,-8.3004,-1.4006,6.8998,1.73831,498.51345,-0.59098,0.34401,0.01017,0.003052,0.001397,0.001113
3-0869,c1ccc2c(c1)ccc1-c3c4c(-c21)c1cc(Cl)ccc1cc4ccc3,336.821,13,24,1,-62.589461014216,-62.289701324299,0.000212514178,-62.353062426479,9.952547035327,9.74248742385,0.00166139764,9.247141716239,0.280966349651,-9.8858,-8.2895,1.596293277271,2.252,257.117473,-0.451,0.738,-0.191,0.007969969,0.007332298,0.003925265,-1382.391539324245,-1382.0850008042,0.0002052617,-1382.1461995814,7.839828027455,7.6229877654,0.0017837255,7.0911698615,0.2883612456,-5.1272,-3.2269,1.9003,2.20795,328.65731,-0.50546,0.68193,-0.18451,0.007882,0.007235,0.003869,-1383.390374706404,-1383.0838361864,0.0002052617,-1383.1450349636,7.725222374612,7.5083821124,0.0017837255,6.9765642098,0.2883612456,-7.6069,-0.9963,6.6106,2.28196,316.30419,-0.47581,0.73706,-0.19063,0.007882,0.007235,0.003869
4-0998,Clc1cc2c(Cl)ccc3c2c(c1)c1cccc2c1c3ccc2,321.206,10,20,2,-57.072935084229,-56.828926741955,0.000206011008,-56.890348924113,8.307129747647,8.138658313533,0.001389116644,7.724493185229,0.226635528878,-10.0241,-8.2071,1.817029180362,3.701,229.496011,-1.342,0.565,0.0,0.01261472,0.006327833,0.004213996,-1688.392097221659,-1688.1431312672,0.0002005791,-1688.2029339115,6.547072042543,6.3736414632,0.0014911913,5.9290426257,0.2319701064,-5.109,-3.0972,2.0118,3.49127,287.86894,-1.26568,0.53337,-0.01362,0.012475,0.006263,0.004172,-1689.269990657836,-1689.0210247033,0.0002005791,-1689.0808273476,6.458865249616,6.2854346701,0.0014911913,5.8408358336,0.2319701064,-7.4895,-0.8371,6.6524,3.50783,275.72579,-1.26478,0.552,-0.0136,0.012475,0.006263,0.004172
2-0001,Clc1ccc2c(c1)ccc(c2Cl)Cl,231.509,5,10,3,-37.626997328349,-37.500662570876,0.000167243776,-37.550526302705,4.279044390136,4.195199143503,0.000747004892,3.972479634589,0.114322182272,-10.7427,-7.9154,2.827253591074,1.29,144.599878,0.208,0.463,-0.0,0.04608154,0.009533937,0.007899573,-1764.535425310646,-1764.4062471339,0.0001630594,-1764.4548633007,3.384926144182,3.2982366159,0.0008039532,3.058537885,0.1175471021,-5.9794,-2.5768,3.4026,1.1607,159.13349,0.17161,0.42317,-0.0001,0.045289,0.009423,0.0078,-1765.05894248784,-1764.9297643111,0.0001630594,-1764.9783804779,3.34876880457,3.2620792763,0.0008039532,3.0223805459,0.1175471021,-8.7516,-0.0238,8.7278,1.21584,155.28985,0.1785,0.44379,-0.00011,0.045289,0.009423,0.0078
1-0071,c1cc2c(cc1)cc1-c3c(-c1c2)c1ccccc1c1c3cccc1,302.376,14,24,0,-58.483499043247,-58.176023411362,0.000205350079,-58.237248537499,9.935627435383,9.717851881938,0.001651657343,9.225410243945,0.289422935654,-9.6829,-7.682,2.000916461384,0.784,242.130899,-0.309,0.0,-0.0,0.01563984,0.005108277,0.003850597,-922.752604604727,-922.4392431003,0.0002000278,-922.4988813976,7.817614910705,7.5939516643,0.0017720476,7.0656155462,0.2956495868,-4.9016,-2.606,2.2956,1.27218,328.5785,-0.50051,0.0,0.0,0.01553,0.005056,0.003814,-923.719864971941,-923.4065034675,0.0002000278,-923.4661417648,7.701988602389,7.4783253557,0.0017720476,6.949989239,0.2956495868,-7.339,-0.1849,7.1541,1.44729,309.67318,-0.5694,1e-05,2e-05,0.01553,0.005056,0.003814
3-0885,c1ccc2-c3c4c(-c2c1)c1ccccc1cc4c1c(c3)cccc1Cl,336.821,13,24,1,-62.596929037719,-62.296889329177,0.000216366001,-62.361398852235,9.96001505883,9.749675428728,0.001657545817,9.255478141995,0.28096814138,-9.9725,-8.0366,1.935894241642,1.392,257.181141,-0.074,-0.542,0.029,0.00967303,0.006252818,0.003798942,-1382.397771563735,-1382.0917828686,0.0002111724,-1382.154743927,7.846060266945,7.6297698298,0.0017778148,7.0997142071,0.2872619523,-5.2201,-2.9528,2.2673,1.19,330.25121,-0.15325,-0.44092,0.0359,0.009589,0.006166,0.003754,-1383.401878057093,-1383.095889362,0.0002111724,-1383.1588504204,7.736725725301,7.520435288,0.0017778148,6.9903796666,0.2872619523,-7.7,-0.6641,7.0359,1.28938,316.58965,-0.168,-0.47712,0.03824,0.009589,0.006166,0.003754
3-0343,c1ccc2c(c1)cc1c(c2)c2c(cc1)c1cc(Cl)ccc1c1c2cccc1,362.859,15,26,1,-67.901571554807,-67.566264881006,0.000226310701,-67.633739416569,10.891099305316,10.654934823475,0.001836883423,10.107268029657,0.31458041641,-9.8684,-7.788,2.080376416609,2.396,279.817695,-0.669,-0.656,-0.101,0.0115877,0.003457236,0.002760857,-1459.806196319113,-1459.4631495012,0.0002183034,-1459.5282366605,8.595509476417,8.3516028384,0.0019714,7.7638297714,0.3230414016,-5.0799,-2.7151,2.3648,2.23127,364.581,-0.61586,-0.62122,-0.07338,0.011412,0.003425,0.002723,-1460.894915572736,-1460.5518687548,0.0002183034,-1460.6169559141,8.474082270698,8.2301756324,0.0019714,7.6424025669,0.3230414016,-7.5145,-0.3717,7.1428,2.2104,347.13105,-0.60115,-0.62363,-0.07705,0.011412,0.003425,0.002723
