id,smiles,mwt,nH,nC,nCl,E_xtb2,H_xtb2,S_xtb2,G_xtb2,dE_xtb2,dH_xtb2,dS_xtb2,dG_xtb2,zpe_xtb2,homo_xtb2,lumo_xtb2,gap_xtb2,Mu_xtb2,alpha_xtb2,xMu_xtb2,yMu_xtb2,zMu_xtb2,rotA_xtb2,rotB_xtb2,rotC_xtb2,E_r2scan,H_r2scan,S_r2scan,G_r2scan,dE_r2scan,dH_r2scan,dS_r2scan,dG_r2scan,zpe_r2scan,homo_r2scan,lumo_r2scan,gap_r2scan,Mu_r2scan,alpha_r2scan,xMu_r2scan,yMu_r2scan,zMu_r2scan,rotA_r2scan,rotB_r2scan,rotC_r2scan,E_d4tzvp,H_d4tzvp,S_d4tzvp,G_d4tzvp,dE_d4tzvp,dH_d4tzvp,dS_d4tzvp,dG_d4tzvp,zpe_d4tzvp,homo_d4tzvp,lumo_d4tzvp,gap_d4tzvp,Mu_d4tzvp,alpha_d4tzvp,xMu_d4tzvp,yMu_d4tzvp,zMu_d4tzvp,rotA_d4tzvp,rotB_d4tzvp,rotC_d4tzvp
4-0936,Clc1c(Cl)c2-c3c(Cl)cc(c4c3c3c2c(c1Cl)cc(c3c1c4c(Cl)ccc1Cl)Cl)Cl,551.898,4,22,8,-85.617931889602,-85.411007672709,0.000268664612,-85.491110026864,8.73127958414,8.604613332167,0.001534295672,8.147163076494,0.180740281895,-10.832,-8.9258,1.906187928755,1.969,321.493819,0.764,0.123,0.02,0.004431962,0.002776444,0.001781113,-4522.010655763007,-4521.7993863935,0.0002587716,-4521.8765391435,6.800868792747,6.6698557591,0.001647882,6.1785395133,0.1858504304,-5.9869,-3.6389,2.348,1.81985,406.06646,0.70294,0.13457,0.01957,0.00437,0.002744,0.001772,-4523.178836774844,-4522.9675674053005,0.0002587716,-4523.044720155301,6.738433677619,6.6074206443,0.001647882,6.1161043989,0.1858504304,-8.6294,-1.3977,7.2317,1.84538,381.30807,0.71516,0.12387,0.01705,0.00437,0.002744,0.001772
4-0045,c1ccc2c(c1Cl)ccc1c2c2c1c(Cl)cc1c2c2c1c(Cl)cc(c2)Cl,414.118,8,22,4,-69.313808405241,-69.075034064082,0.000238699531,-69.146202329338,8.783325583879,8.62480920764,0.001496643169,8.178585045712,0.21692596617,-10.3369,-8.3147,2.022198064138,1.568,265.907716,0.294,-0.543,-0.0,0.007483086,0.002771873,0.002022647,-2683.589613453206,-2683.3469372095,0.00023283,-2683.4163554794,6.846712894018,6.6842929863,0.0016061764,6.2054113232,0.2211235392,-5.3918,-3.1779,2.2139,1.68919,369.47527,0.30491,-0.59049,-3e-05,0.007405,0.002747,0.002004,-2684.60915486334,-2684.3664786196,0.00023283,-2684.4358968895,6.757855615074,6.5954357074,0.0016061764,6.1165540451,0.2211235392,-7.9417,-0.7522,7.1895,1.75625,340.78038,0.32086,-0.61193,-3e-05,0.007405,0.002747,0.002004
4-0654,Clc1c2c(cc(c(c2Cl)Cl)Cl)c(c2-c3c4c(-c12)c(Cl)cc(c4c1c(c3)c(Cl)c(c(c1Cl)Cl)Cl)Cl)Cl,681.271,3,24,11,-103.064717556753,-102.847524741821,0.00031334957,-102.940949916265,9.537379867614,9.409887131122,0.001729606208,8.894205039165,0.184896653471,-10.8085,-8.958,1.850541434626,0.51,381.894678,-0.073,0.103,-0.156,0.004087217,0.001216923,0.000961497,-5978.148760881518,-5977.9262501325,0.000297422,-5978.0149265006,7.429833557047,7.2970210657,0.0018606832,6.7422580957,0.1914948358,-5.8707,-3.6041,2.2666,0.70011,521.63844,-0.16973,0.14338,-0.16279,0.004045,0.001207,0.000961,-5979.51106677287,-5979.288556023901,0.000297422,-5979.377232392001,7.373154818679,7.2403423279,0.0018606832,6.6855793582,0.1914948358,-8.4249,-1.3618,7.0631,0.7637,477.20635,-0.16505,0.17827,-0.17678,0.004045,0.001207,0.000961
3-1259,c1ccc2c(c1)ccc1c2c2c3c(Cl)cccc3ccc2cc1,312.799,13,22,1,-58.303461971775,-58.016744299817,0.000203999695,-58.077566808997,9.253140735616,9.051402085338,0.001563505867,8.585242810127,0.269008016478,-10.0695,-7.4232,2.646246203483,1.451,239.959619,0.319,0.18,-0.437,0.0126826,0.009026196,0.006227142,-1306.186010285699,-1305.8925443736,0.0001964536,-1305.9511170252,7.298731163445,7.0902425484,0.0016791212,6.5896124387,0.2764647593,-5.3078,-2.3312,2.9766,1.29901,278.54763,0.34741,0.09501,-0.36258,0.012419,0.008787,0.006123,-1307.116072037657,-1306.8226061256,0.0001964536,-1306.8811787772,7.196541621431,6.9880530062,0.0016791212,6.4874228978,0.2764647593,-7.8613,0.0932,7.9545,1.39812,270.28314,0.39717,0.10127,-0.36682,0.012419,0.008787,0.006123
3-1052,c1ccc2c3c1cccc3c1c(c2)c2cc(Cl)cc3c2c(c1)ccc3,336.821,13,24,1,-62.60530119886,-62.305574652215,0.000213532946,-62.369239499929,9.968387219971,9.758360751766,0.001660378872,9.263318789689,0.280851276854,-9.5573,-8.3496,1.207658548198,2.514,257.238819,0.564,-0.811,-0.059,0.01263016,0.004560594,0.003359748,-1382.408470761685,-1382.1020198665,0.0002060778,-1382.1634619755,7.856759464895,7.6400068277,0.0017829094,7.1084322556,0.2882535633,-4.6451,-3.2815,1.3636,2.31489,374.88066,0.51059,-0.74903,-0.08762,0.012528,0.004511,0.003342,-1383.402767309631,-1383.0963164144,0.0002060778,-1383.1577585234,7.737614977839,7.5208623404,0.0017829094,6.9892877696,0.2882535633,-6.8282,-1.1664,5.6618,2.27487,357.53209,0.48489,-0.747,-0.0887,0.012528,0.004511,0.003342
2-0383,c1ccc2c(c1)c1ccccc1c(c2Cl)Cl,247.124,8,14,2,-43.172329630151,-42.989399140077,0.000175016936,-43.041580439416,5.953268049631,5.826990240677,0.001018015898,5.523468799944,0.169346912254,-10.4368,-7.5818,2.855038097182,3.033,172.305887,-0.0,-1.193,0.0,0.01768665,0.01577016,0.008336758,-1458.563415328706,-1458.3766160259,0.0001705956,-1458.4274790956,4.706230044568,4.5760822731,0.0010936338,4.2500152458,0.1735625377,-5.7446,-2.3053,3.4393,2.74894,193.10239,-7e-05,-1.08149,4e-05,0.017466,0.015615,0.008244,-1459.213278531402,-1459.0264792285998,0.0001705956,-1459.0773422982998,4.64907792456,4.518930153,0.0010936338,4.1928631265,0.1735625377,-8.4415,0.1798,8.6213,2.78357,188.9806,-7e-05,-1.09512,4e-05,0.017466,0.015615,0.008244
3-1251,c1ccc2c(c1)ccc1c2cc2cccc(c2c1)Cl,262.739,11,18,1,-48.717120825124,-48.478150241567,0.000186571963,-48.533776672452,7.626950602297,7.45879587014,0.001285245037,7.075600061624,0.223894915883,-10.0753,-7.7077,2.3676632201,1.996,199.912011,0.49,0.614,0.0,0.02940302,0.006576772,0.005374599,-1152.594801599472,-1152.3505947447,0.000181735,-1152.4047790409,6.03093019766,5.8575377571,0.0013797112,5.446176757,0.2295951052,-5.2804,-2.6057,2.6747,1.91091,245.66008,0.45868,0.59565,1e-05,0.029107,0.006508,0.005319,-1153.364772189208,-1153.1205653344,0.000181735,-1153.1747496306,5.946544658794,5.773152218,0.0013797112,5.361791219,0.2295951052,-7.8237,-0.1936,7.6301,1.87923,237.68985,0.42856,0.60245,2e-05,0.029107,0.006508,0.005319
4-0356,Clc1cc2c(c(c1)Cl)c(Cl)c1-c3c4c(-c1c2)cc(Cl)cc4cc(c3)Cl,424.541,7,20,5,-69.206005474883,-68.987255715921,0.000235258927,-69.057398164887,8.173073025226,8.029860174424,0.001410581913,7.609295175945,0.197343901861,-10.6604,-8.5169,2.143572545429,1.669,266.44224,0.09,0.65,0.0,0.007183564,0.003074922,0.002153232,-3067.108149991042,-3066.8854218275,0.0002311878,-3066.954350479,6.412960003622,6.2657672151,0.001511318,5.8151675877,0.2016114221,-5.7786,-3.2799,2.4987,1.61056,348.9127,0.10306,0.62519,0.00024,0.007076,0.003035,0.002125,-3068.093394745069,-3067.8706665816,0.0002311878,-3067.9395952331,6.340441450129,6.1932486618,0.001511318,5.7426490351,0.2016114221,-8.323,-0.9399,7.3831,1.7213,326.54744,0.11912,0.66664,-0.0013,0.007076,0.003035,0.002125
3-0671,c1cc2cc3ccccc3c3-c4c(-c(c1)c23)cc1cccc(c1c4)Cl,336.821,13,24,1,-62.598472862849,-62.298798907715,0.000213560651,-62.36247201583,9.96155888396,9.751585007266,0.001660351167,9.25655130559,0.280733823196,-9.8631,-8.0739,1.78911206013,1.984,257.15233,0.259,0.736,0.0,0.01105897,0.005176264,0.00352592,-1382.401909458265,-1382.0960428674,0.0002080194,-1382.1580638426,7.850198161475,7.6340298286,0.0017809678,7.1030341227,0.2873471465,-5.0645,-3.0376,2.0269,1.95069,340.122,0.31933,0.69785,1e-05,0.010964,0.005122,0.003491,-1383.401712339265,-1383.0958457484,0.0002080194,-1383.1578667236,7.736560007473,7.5203916744,0.0017809678,6.9893959698,0.2873471465,-7.4443,-0.7734,6.6709,1.96141,324.67172,0.27021,0.72281,1e-05,0.010964,0.005122,0.003491
4-1534,Clc1c2c(c(Cl)c3c(c2Cl)c(Cl)c(c(c3)Cl)Cl)c2c(c1Cl)c1c(c(c2Cl)Cl)c(Cl)cc2c1c(Cl)c(c(c2)Cl)Cl,776.199,3,26,13,-116.443709709967,-116.208612369387,0.000343401,-116.310997377571,10.364729008176,10.228773859556,0.001922645876,9.655536990427,0.198366138394,-10.7447,-9.0571,1.687612690316,2.283,429.620282,0.737,0.509,-0.059,0.002942163,0.001149505,0.0009320395,-6974.667399807905,-6974.4268201747,0.0003255524,-6974.5238836372,8.056053731993,7.9146142783,0.0020670926,7.2983103261,0.2052537539,-5.7601,-3.8228,1.9373,2.19806,573.0037,0.7534,0.41112,-0.10577,0.002862,0.001144,0.000937,-6976.186644165539,-6975.9460645323,0.0003255524,-6976.0431279948,7.998499316622,7.8570598635,0.0020670926,7.2407559116,0.2052537539,-8.2701,-1.5829,6.6872,2.44319,526.744,0.83815,0.45415,-0.12316,0.002862,0.001144,0.000937
